Name,Shirtnumber,Nationality,Position,Age,Minutes,Goals,Assists,Pens Made,Pens Att,Shots,Shots on Target,Cards Yellow,Cards Red,Touches,Tackles,Interceptions,Blocks,XG,NPXG,XG Assist,SCA,GCA,Passes Completed,Passes,Passes %,Progressive Passes,Carries,Progressive Carries,Take Ons,Take Ons Won,GC (Goles en contra),Salvadas,PSxG,Opponent Team,Match Date,Puntuation,Team Style,Year,Month,Day,Reward
Koke,6,esESP,CM,32-262,53,0,0,0,0,0,0,0,0,36,0,2,1,0.0,0.0,0.0,0,0,26,33,78.8,1,16,0,1,0,0,0,0,Celta Vigo,"September 26, 2024",2.0
Julián Álvarez,19,arARG,LM,24-239,37,1,0,0,0,2,1,0,0,24,0,0,1,0.3,0.3,0.0,2,0,15,19,78.9,1,20,2,0,0,0,0,0,Celta Vigo,"September 26, 2024",7.0
Marcos Llorente,14,esESP,RM,29-240,90,0,0,0,0,0,0,0,0,52,3,2,1,0.0,0.0,0.0,0,0,39,45,86.7,2,31,1,0,0,0,0,0,Celta Vigo,"September 26, 2024",6.0
Reinildo Mandava,23,mzMOZ,CB,30-249,90,0,0,0,0,0,0,1,0,41,1,3,2,0.0,0.0,0.0,0,0,26,33,78.8,2,22,2,0,0,0,0,0,Celta Vigo,"September 26, 2024",7.0
José María Giménez,2,uyURU,CB,29-250,90,0,0,0,0,0,0,1,0,66,1,0,0,0.0,0.0,0.0,1,0,51,61,83.6,4,36,0,0,0,0,0,0,Celta Vigo,"September 26, 2024",8.0
Robin Le Normand,24,esESP,CB,27-320,90,0,0,0,0,1,0,0,0,64,2,1,0,0.1,0.1,0.0,0,0,51,55,92.7,3,36,0,0,0,0,0,0,Celta Vigo,"September 26, 2024",9.0
Nahuel Molina,16,arARG,RB,26-173,83,0,0,0,0,1,0,0,0,65,3,1,0,0.0,0.0,0.0,3,0,45,59,76.3,3,46,2,0,0,0,0,0,Celta Vigo,"September 26, 2024",9.0
Ángel Correa,10,arARG,FW,29-201,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,1,4,4,100.0,1,3,0,0,0,0,0,0,Celta Vigo,"September 26, 2024",1.0
Jan Oblak,13,siSVN,GK,31-263,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,22,26,84.6,0,13,0,0,0,0,4,1.1,Celta Vigo,"September 26, 2024",9.0
15 Players,0,0,0,0,990,1,1,0,0,8,2,2,0,580,17,12,8,0.6,0.6,0.6,15,2,394,501,78.6,24,351,20,8,1,0,0,0,Celta Vigo,"September 26, 2024",47.0

Alejo Véliz,9,arARG,FW,20-347,90,1,0,0,0,3,1,1,0,33,0,0,2,0.4,0.4,0.0,1,0,12,16,75.0,2,10,0,3,0,1,0,0,Rayo Vallecano,"August 31, 2024",6.0
Javi Puado,7,esESP,FW,26-098,70,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,2,1,10,18,55.6,2,11,0,1,0,1,0,0,Rayo Vallecano,"August 31, 2024",3.0
